data_year,victim_id,offender_id,relationship_id,nibrs_victim_offender_id
2024,212062447,216945769,3,
2024,212062448,216945770,3,
2024,212062449,216945771,9,
2024,212062452,216945774,26,
2024,212062453,216945775,20,
2024,212062454,216945776,26,
2024,212062464,216945781,18,
2024,212062465,216945782,21,
2024,212062467,216945784,16,
2024,212062468,216945784,16,
2024,212062469,216945785,24,
2024,212062471,216945787,21,
2024,212062472,216945788,16,
2024,212062476,216945793,3,
2024,217394264,222256584,21,
2024,212062481,216945799,3,
2024,212062483,216945801,3,
2024,212062484,216945802,19,
2024,212062485,216945803,18,
2024,212062488,216945805,17,
2024,212062491,216945808,1,
2024,212062492,216945808,9,
2024,212062493,216945809,3,
2024,212062495,216945811,18,
2024,212062498,216945814,26,
2024,212062499,216945815,14,
2024,212062500,216945816,15,
2024,212062502,216945818,1,
2024,212062503,216945819,16,
2024,212062504,216945820,16,
2024,212062504,216945821,16,
2024,212062506,216945823,24,
2024,212062508,216945825,18,
2024,212062509,216945826,1,
2024,212062511,216945828,11,
2024,212062512,216945829,3,
2024,212062513,216945830,16,
2024,212062514,216945830,19,
2024,212062518,216945834,26,
2024,212062519,216945835,26,
2024,212062520,216945836,16,
2024,212062523,216945839,24,
2024,212062525,216945841,1,
2024,212062528,216945845,1,
2024,212062529,216945846,21,
2024,212062530,216945847,1,
2024,212062531,216945848,16,
2024,212062536,216945853,14,
2024,212062539,216945857,14,
2024,212062540,216945858,16,
2024,212062540,216945859,3,
2024,212062541,216945858,16,
2024,212062541,216945859,3,
2024,212062544,216945862,14,
2024,213897824,218771659,3,
2024,212062547,216945865,24,
2024,212062550,216945868,24,
2024,212062551,216945869,18,
2024,212062553,216945871,24,
2024,212062554,216945872,1,
2024,212062554,216945873,1,
2024,212062554,216945874,1,
2024,212062554,216945875,1,
2024,212062555,216945876,14,
2024,212062556,216945876,14,
2024,212062559,216945879,26,
2024,212062560,216945880,3,
2024,212062563,216945884,18,
2024,212062563,216945885,18,
2024,212062566,216945888,19,
2024,207822734,212741289,21,
2024,209784094,214685659,24,
2024,207822737,212741296,18,
2024,207822737,212741297,18,
2024,205718560,210653951,18,
2024,205718562,210653952,18,
2024,205718563,210653953,22,
2024,207822738,212741298,18,
2024,205718565,210653955,13,
2024,205718567,210653957,24,
2024,205718568,210653957,24,
2024,205718569,210653958,14,
2024,205718571,210653960,24,
2024,205718572,210653961,19,
2024,205718573,210653962,18,
2024,205718575,210653964,18,
2024,207822750,212741311,6,
2024,205718576,210653965,18,
2024,205718577,210653966,18,
2024,207822755,212741315,3,
2024,205718578,210653967,1,
2024,207822757,212741318,1,
2024,205718580,210653969,18,
2024,207822761,212741322,18,
2024,207822761,212741323,18,
2024,207822762,212741324,3,
2024,205718584,210653974,3,
2024,207822765,212741327,14,
2024,207822767,212741329,24,
2024,207822767,212741330,24,
2024,207822771,212741333,18,
2024,207822772,212741334,18,
2024,207822772,212741335,18,
2024,205718585,210653975,18,
2024,211457377,216342549,24,
2024,207822774,212741336,21,
2024,215085149,219950539,21,
2024,215085149,219950540,26,
2024,215085150,219950539,5,
2024,215085150,219950540,5,
2024,205718588,210653977,18,
2024,207822777,212741338,18,
2024,205718590,210653979,18,
2024,205718590,210653980,18,
2024,207822778,212741339,14,
2024,205718591,210653981,15,
2024,207822780,212741341,18,
2024,207822780,212741342,18,
2024,207822783,212741344,16,
2024,207822784,212741344,16,
2024,207822785,212741345,9,
2024,209784095,214685660,24,
2024,209784095,214685661,24,
2024,207822790,212741350,15,
2024,207822791,212741352,18,
2024,207822792,212741353,24,
2024,207822792,212741354,24,
2024,207822796,212741357,3,
2024,207822804,212741368,18,
2024,207822811,212741377,26,
2024,207822811,212741378,1,
2024,207822813,212741380,18,
2024,207822814,212741381,24,
2024,207822814,212741382,24,
